name,id,H,T_rebuild_K,T_rebuild_L,alpha,avg_prod_k,axfin_p,axfin_r,axhealth,bashs,borrow_abi,cp,cr,dC_destitution,dKpc,dKtot,dW_destitution,dW_no_transfers,dW_noupscale,dWsurWprime,delta_W,destitution_exposure,equivalent_cost,fa,fap,far,faref,finance_pre,gdp_pc_pp,income_elast,individual_exposure,institutional_exposure,iso3,macro_multiplier,ophe,original_country,pe,peref,pi,plgp,pop,pov_head,prepare_scaleup,protection,protectionref,pv,rating,resilience,resilience_no_shock,resilience_no_shock_no_SP,resilience_no_shock_no_uspcale,rho,risk,risk_to_assets,rp,share1,share1_ref,shew,sigma_p,sigma_r,social_p,social_r,tot_p,tot_r,total_equivalent_cost,total_equivalent_cost_no_destitution,total_equivalent_cost_of_destitution,unemp,v,v_p,v_r,v_s,v_shew,group_name
Albania,ALB,0.53565,3,40,1,0.18528,0.07585,0.09239,0.73918,0.993,0.1625,4407.71627,11349.24684,79755.60082,83.90057,243090665,0,0,0,113.89191,0,0.00057,118.13473,0.07074,0.06366,0.07251,0.07368,0,9960.94073,1.5,0.00392,0.14472,ALB,1.12901,0.51465,Albania,-0.1,-0.1,0.2,0.98667,2897366,0.2,0,15.54,15.54,0.86318,0.325,0.71021,0.73667,0.6614,0.72824,0.05,0.01186,0.00842,85.41616,0.0885,0.0885,0,0.04063,0.04063,0.26295,0.17936,0.29289,0.2127,342279547.7,329986557.9,12292989.81,0.16,0.33813,0.63,0.31325,0.31325,0.33813,Europe & Central Asia
Angola,AGO,0.53565,3,40,1,0.4324,0.09179,0.20127,0.61448,0.473,0.2,2021.76318,8854.57391,59955.26862,6.10764,131140905.1,0,0,0,20.24734,0,0.00072,24.07629,0.01632,0.04603,0.0089,0.01703,0,7488.01176,1.5,0.00191,0.37826,AGO,1.36468,0.24404,Angola,1.82,1.82,0.2,0.31873,21471618,0.2,0,16.49,16.49,0.18088,0.4,0.25368,0.30165,0.27341,0.29903,0.05,0.00322,0.00082,89.67869,0.054,0.054,0,0.05,0.05,0.34221,0.17346,0.3751,0.21478,516956858.2,434743064.7,82213793.59,0.068,0.5335,0.63,0.505,0.505,0.5335,Sub-Saharan Africa
Argentina,ARG,0.53565,3,40,1,0.26955,0.00437,0.06037,0.8855,0.982,0.23333,4141.96794,21573.50334,144821.1815,20.13861,834669886.8,0,0,0,37.23046,0,0.00026,38.08308,0.07364,0.08601,0.07055,0.07206,0.4,18087.19626,1.5,0.00358,0.07284,ARG,1.20938,0.21099,Argentina,0.16797,0.16797,0.2,0.97097,41446246,0.2,0.66667,64.41,64.41,0.95066,0.06667,0.52881,0.54092,0.46009,0.50028,0.05,0.00211,0.00111,265.6067,0.0458,0.0458,0.8,0.225,0.225,0.20015,0.14265,0.38012,0.33555,1578400879,1543062785,35338094.68,0.075,0.32297,0.5292,0.2562,0.305,0.27129,Latin America & Caribbean
Armenia,ARM,0.53565,3,40,1,0.3667,0.0019,0.01239,0.72403,0.995,0.3875,3300.51777,8583.41608,60266.13123,6.95479,20701390.39,0,0,0,9.99041,0,0.00001,10.06809,0.03475,0.04058,0.03329,0.038,0.4,7526.83642,1.5,0.00006,0.1606,ARM,1.30202,0.54695,Armenia,0.16797,0.16797,0.2,0.95617,2976566,0.2,0.4,11.46,11.46,0.04497,0.375,0.69078,0.69615,0.68203,0.69333,0.05,0.00134,0.00092,66.24198,0.0877,0.0877,0.4,0.19688,0.19688,0.50506,0.24573,0.6025,0.39422,29968338.11,29737113.44,231224.6721,0.162,0.12441,0.1196,0.11385,0.12375,0.11445,Europe & Central Asia
Australia,AUS,0.53565,3,40,1,0.2736,0.52015,0.68547,0.90291,1,0.9,15056.15689,49778.48173,342964.8701,23.17135,535937149.8,0,0,0,32.40848,0,0.00001,32.48227,0.04256,0.04971,0.04077,0.04109,0.8,42834.01676,1.5,0.00028,0.0519,AUS,1.21324,0.19417,Australia,0.16797,0.16797,0.2,0.99838,23129300,0.2,0.8,100,100,0.40977,1,0.71335,0.71498,0.60166,0.6798,0.05,0.00076,0.00054,370.67677,0.0703,0.0703,1,0.425,0.425,0.578,0.126,0.75735,0.49745,751292174.5,749585424.9,1706749.572,0.057,0.44688,0.504,0.344,0.43,0.35751,East Asia & Pacific
Austria,AUT,0.53565,3,40,1,0.23228,0.43808,0.56789,0.92097,1,0.48333,18635.79562,50411.36912,352751.1244,4.30253,36484677.13,0,0,0,6.19499,0,0.00002,6.21423,0.08724,0.10189,0.08357,0.07922,0,44056.25442,1.5,0.00052,0.04355,AUT,1.17383,0.15806,Austria,0.16797,0.16797,0.2,0.99738,8479823,0.2,0,600.59,600.59,1.99906,0.96667,0.69237,0.69452,0.47373,0.66499,0.05,0.00014,0.0001,1307.28774,0.0846,0.0846,0,0.12083,0.12083,0.51717,0.40816,0.57551,0.47968,52695567.83,52532446.61,163121.2207,0.049,0.16005,0.48,0.124,0.124,0.16005,Europe & Central Asia
Azerbaijan,AZE,0.53565,3,40,1,0.59822,0.00113,0.02468,0.6417,0.994,0.275,6745.13123,19055.20314,132858.9112,11.77589,110891180.8,0,0,0,19.90211,0,0.00001,20.06216,0.04884,0.05705,0.04679,0.05713,0,16593.18876,1.5,0.00008,0.14381,AZE,1.52282,0.71059,Azerbaijan,0.16797,0.16797,0.2,0.98186,9416801,0.2,0,13.95,13.95,0.04536,0.55,0.58697,0.59169,0.57784,0.59136,0.05,0.00121,0.00071,78.14487,0.0813,0.0813,0,0.06875,0.06875,0.85713,0.38777,0.86695,0.42986,188921412.5,187414204.1,1507208.452,0.055,0.12436,0.13,0.12375,0.12375,0.12436,Europe & Central Asia
Bangladesh,BGD,0.53565,3,40,1,0.28971,0.14566,0.18231,0.37086,0.344,0.6,1266.9308,3250.07698,22847.08294,13.92518,2180613766,0,0,0,20.01225,0,0.00252,21.6882,0.22209,0.22653,0.22098,0.22001,0.8,2853.44774,1.5,0.00748,0.33671,BGD,1.2286,0.60229,Bangladesh,0.02,0.02,0.2,0.66201,156594962,0.2,0.66667,50,50,0.65799,0.4,0.64206,0.69583,0.63093,0.64107,0.05,0.0076,0.00488,218.53784,0.0888,0.0888,0.8,0.31667,0.31667,0.05676,0.05538,0.35545,0.35451,3396263296,3133817284,262446011.7,0.043,0.37998,0.5292,0.2982,0.355,0.31918,South Asia
Belarus,BLR,0.53565,3,40,1,0.38644,0.04173,0.08594,0.84072,1,0.525,7990.06058,19320.68277,136553.0209,22.33818,211453224.2,0,0,0,32.36611,0,0.00003,32.71472,0.03398,0.03968,0.03255,0.03564,0.8,17054.55833,1.5,0.00033,0.07687,BLR,1.32086,0.31856,Belarus,0.16797,0.16797,0.2,0.98668,9466000,0.2,0.73333,14.45,14.45,1.40348,0.25,0.68282,0.69017,0.49763,0.63255,0.05,0.00192,0.00131,80.44277,0.0937,0.0937,0.8,0.31458,0.31458,0.49175,0.31017,0.65163,0.52718,309677578.4,306377552,3300026.406,0.058,0.26212,0.5292,0.18123,0.21575,0.22018,Europe & Central Asia
Belgium,BEL,0.53565,3,40,1,0.21669,0.43804,0.41742,0.90044,1,0.44167,16954.24581,46522.65356,325149.3057,13.96357,156152017.4,0,0,0,18.19683,0,0.00002,18.25113,0.11046,0.12901,0.10582,0.10099,0,40608.97201,1.5,0.00023,0.10614,BEL,1.15897,0.19912,Belgium,0.16797,0.16797,0.2,0.86513,11182817,0.2,0,213.02,213.02,1.24042,0.88333,0.76508,0.76736,0.56036,0.75247,0.05,0.00045,0.00034,646.28025,0.0835,0.0835,0,0.11042,0.11042,0.65117,0.40252,0.68969,0.46849,204099070.5,203491792.4,607278.1222,0.084,0.14729,0.33,0.127,0.127,0.14729,Europe & Central Asia
