name,macro_gdp_pc_pp,macro_pop,macro_urbanization_rate,macro_prepare_scaleup,macro_borrow_abi,macro_avg_prod_k,macro_T_rebuild_K,macro_pi,macro_income_elast,macro_rho,macro_shareable,macro_max_increased_spending,macro_fa_glofris,macro_protection,macro_tau_tax,n_cat_info__nonpoor,n_cat_info__poor,c_cat_info__nonpoor,c_cat_info__poor,axfin_cat_info__nonpoor,axfin_cat_info__poor,gamma_SP_cat_info__nonpoor,gamma_SP_cat_info__poor,k_cat_info__nonpoor,k_cat_info__poor,fa_cat_info__nonpoor,fa_cat_info__poor,v_cat_info__nonpoor,v_cat_info__poor,shew_cat_info__nonpoor,shew_cat_info__poor,shew_for_hazard_ratio,hazard_ratio_fa__earthquake,hazard_ratio_fa__flood,hazard_ratio_fa__surge,hazard_ratio_fa__tsunami,hazard_ratio_fa__wind,hazard_ratio_flood_poor,ratio_surge_flood,risk,resilience,risk_to_assets,id,group_name
Albania,9960.940726,2897366,0.57407,0,0.175,0.185279986,3,0.2,1.5,0.06,0.8,0.05,0.073679939,1,0.186757427,0.8,0.2,11349.24684,4407.716271,0.092387,0.07585279,1.094242898,0.623028407,61811.78044,21560.66854,0.022103815,0.021223163,0.3515,0.7,0,0,0,0.003020792,0.001824967,0,0,0,0.001666189,0,0.014300655,0.690596342,0.00987598,ALB,Europe & Central Asia
Angola,7488.01176,21471618,0.4405,0,0.175,0.432397391,3,0.2,1.5,0.06,0.8,0.05,0.017032879,1,0.106132304,0.8,0.2,8854.573906,2021.763175,0.2012691,0.09179081,1.160475742,0.358097031,20523.14706,4494.564269,0.00281413,0.012449336,0.6,0.7,0,0,0,4.31E-05,0.000817287,0,0,0,0.004228895,0,0.004776738,0.312124521,0.001490937,AGO,Sub-Saharan Africa
Argentina,18087.19626,41446246,0.91751,0.733333333,0.375,0.269549515,3,0.2,1.5,0.06,0.8,0.05,0.072057817,1,0.145281279,0.8,0.2,21573.50334,4141.967944,0.06037133,0.004365798,1.1711269,0.315492399,80282.02535,14379.76009,0.00857342,0.008978745,0.397253913,0.7,0.64,0.64,0.8,0.001944975,0.001118375,0,0,0,0.001236755,0,0.007756746,0.567360865,0.004400874,ARG,Latin America & Caribbean
Armenia,7526.836419,2976566,0.62673,0.4,0.425,0.366695721,3,0.2,1.5,0.06,0.8,0.05,0.038000519,1,0.26847006,0.8,0.2,8583.416081,3300.51777,0.01239363,0.001895716,1.043767643,0.824929429,24135.20906,6089.709776,0.053080451,0.052914131,0.2375,0.3,0.32,0.32,0.4,0.00813215,0.003187132,0,0,0,0.003141881,0,0.010281659,0.707664436,0.007275965,ARM,Europe & Central Asia
Australia,42834.01676,23129300,0.89423,0.8,0.916666667,0.273602391,3,0.2,1.5,0.06,0.8,0.05,0.041090368,1,0.1577756,0.8,0.2,49778.48173,15056.15689,0.6854684,0.5201536,0.928076014,1.287695943,188801.4701,27572.67332,0.003926638,0.004330773,0.5386,0.7,0.8,0.8,1,1.69E-05,0.000908722,0.000289639,1.41E-05,3.55E-05,0.00100491,0.318731861,0.002805556,0.723106492,0.002028715,AUS,East Asia & Pacific
Austria,44056.25442,8479823,0.65968,0.8,0.891666667,0.232278518,3,0.2,1.5,0.06,0.8,0.05,0.079219205,1,0.417385922,0.8,0.2,50411.36912,18635.79562,0.5678905,0.4380794,1.118969359,0.524122562,220464.9697,66489.86022,0.023734298,0.025467007,0.2395,0.57,0.8,0.8,1,0.001088785,0.001234295,0,0,0,0.001364945,0,0.003234262,0.731502958,0.002365872,AUT,Europe & Central Asia
Azerbaijan,16593.18876,9416801,0.5462,0,0.25,0.598221283,3,0.2,1.5,0.06,0.8,0.05,0.057127716,1,0.425931195,0.8,0.2,19055.20314,6745.131231,0.02468288,0.001134416,1.045493423,0.818026308,33970.39503,2806.136516,0.025692137,0.026051088,0.2375,0.3,0,0,0,0.006030477,0.000598671,0,0,0,0.00066204,0,0.004302504,0.615106136,0.002646496,AZE,Europe & Central Asia
Bangladesh,2853.44774,156594962,0.34277,0.733333333,0.616666667,0.289708908,3,0.2,1.5,0.06,0.8,0.05,0.220012,1,0.055500159,0.8,0.2,3250.076976,1266.930797,0.1823108,0.1456589,1.13647442,0.454102322,11219.88438,4367.269629,0.062760195,0.062626545,0.415535198,0.7,0.64,0.64,0.8,0.00075214,0.013945986,0.000138974,3.27E-05,0.002770714,0.013897559,0.009965175,0.034519515,0.658131814,0.022718391,BGD,South Asia
Belarus,17054.55833,9466000,0.76667,0.733333333,0.516666667,0.386444537,3,0.2,1.5,0.06,0.8,0.05,0.035635038,1,0.32718412,0.8,0.2,19320.68277,7990.06058,0.08594028,0.04172604,1.07396499,0.704140041,51260.27023,15618.76433,0.016139498,0.016975398,0.295,0.7,0.64,0.64,0.8,0,0.005114064,0,0,0,0.005378933,0,0.005663669,0.64030697,0.003626486,BLR,Europe & Central Asia
Belgium,40608.97201,11182817,0.97858,0,0.425,0.216691517,3,0.2,1.5,0.06,0.8,0.05,0.100992023,1,0.423284909,0.8,0.2,46522.65356,16954.24581,0.4174232,0.4380374,1.089431555,0.64227378,222424.5623,47324.40148,0.007023333,0.007316653,0.27,0.46,0,0,0,0.000336277,0.000173673,0,0,0,0.000192056,0,0.000855228,0.771673617,0.000659957,BEL,Europe & Central Asia
Benin,1733.309399,10323474,0.4395,0.666666667,0.25,0.330253322,3,0.2,1.5,0.06,0.8,0.05,0.043864809,1,0.072855423,0.8,0.2,2033.605253,532.1259856,0.1062553,0.01619615,1.200214926,0.199140297,6146.592272,1655.749978,0.00823316,0.018910399,0.6734349,0.7,0.32,0.32,0.4,1.55E-05,0.001272417,0,0,0,0.002963604,0,0.005257888,0.500731577,0.002632791,BEN,Sub-Saharan Africa
Bolivia,5934.387978,10671200,0.68512,0.533333333,0.45,0.4218342,3,0.2,1.5,0.06,0.8,0.05,0.046486895,1,0.230864606,0.8,0.2,7171.707871,985.1084043,0.2258028,0.08907469,1.187586055,0.249655779,17089.56104,1982.0456,0.020377238,0.021032564,0.388854212,0.7,0.48,0.48,0.6,0.003080221,0.002494733,0,0,0,0.00277608,0,0.010107936,0.49311288,0.004984354,BOL,Latin America & Caribbean
Bosnia and Herzegovina,9387.350031,3829307,0.39767,0,0.125,0.323932232,3,0.2,1.5,0.06,0.8,0.05,0.136784128,1,0.132486338,0.8,0.2,10857.64373,3506.175237,0.07855196,0.03455922,1.095283368,0.618866528,33789.73743,9737.869642,0.017789929,0.018055623,0.442031071,0.7,0,0,0,0.001054325,0.003299058,0,0,0,0.003371736,0,0.00982264,0.629574499,0.006184084,BIH,Europe & Central Asia
